FECHA HECHO;COD_DEPTO;DEPARTAMENTO;COD_MUNI;MUNICIPIO;CANTIDAD
2/01/2003;76;VALLE DEL CAUCA;76001;CALI;1
3/01/2003;11;BOGOTÁ D.C.;11001;BOGOTA, D.C.;1
7/01/2003;76;VALLE DEL CAUCA;76520;PALMIRA;1
9/01/2003;5;ANTIOQUIA;5001;MEDELLIN;1
10/01/2003;8;ATLÁNTICO;8001;BARRANQUILLA;1
10/01/2003;11;BOGOTÁ D.C.;11001;BOGOTA, D.C.;1
11/01/2003;76;VALLE DEL CAUCA;76147;CARTAGO;1
15/01/2003;76;VALLE DEL CAUCA;76001;CALI;1
15/01/2003;76;VALLE DEL CAUCA;76122;CAICEDONIA;1
17/01/2003;13;BOLÍVAR;13001;CARTAGENA;1
21/01/2003;8;ATLÁNTICO;8001;BARRANQUILLA;1
21/01/2003;68;SANTANDER;68081;BARRANCABERMEJA;1
22/01/2003;76;VALLE DEL CAUCA;76001;CALI;1
23/01/2003;11;BOGOTÁ D.C.;11001;BOGOTA, D.C.;1
29/01/2003;5;ANTIOQUIA;5001;MEDELLIN;1
29/01/2003;11;BOGOTÁ D.C.;11001;BOGOTA, D.C.;1
1/02/2003;15;BOYACÁ;15646;SAMACA;1
4/02/2003;11;BOGOTÁ D.C.;11001;BOGOTA, D.C.;1
6/02/2003;11;BOGOTÁ D.C.;11001;BOGOTA, D.C.;1
7/02/2003;5;ANTIOQUIA;5631;SABANETA;1
7/02/2003;11;BOGOTÁ D.C.;11001;BOGOTA, D.C.;1
10/02/2003;13;BOLÍVAR;13001;CARTAGENA;1
11/02/2003;11;BOGOTÁ D.C.;11001;BOGOTA, D.C.;1
14/02/2003;8;ATLÁNTICO;8001;BARRANQUILLA;1
14/02/2003;11;BOGOTÁ D.C.;11001;BOGOTA, D.C.;1
14/02/2003;76;VALLE DEL CAUCA;76001;CALI;1
15/02/2003;52;NARIÑO;52001;PASTO;1
17/02/2003;47;MAGDALENA;47189;CIENAGA;1
19/02/2003;11;BOGOTÁ D.C.;11001;BOGOTA, D.C.;1
20/02/2003;11;BOGOTÁ D.C.;11001;BOGOTA, D.C.;2
20/02/2003;70;SUCRE;70215;COROZAL;1
21/02/2003;5;ANTIOQUIA;5001;MEDELLIN;1
21/02/2003;44;LA GUAJIRA;44001;RIOHACHA;1
